,project,product,groupid,pushid,graph_date,origin,totalcost,tier23_cost,taskcount,tier23_taskcount
0,autoland,firefox,XcjlUs3GRvqXlaiIkIg_Ig,75346,1546257004,push,62.91,3.45,2016,91
1,autoland,firefox,fzZLIZGPRWS7Fc-PGlR1Rw,75347,1546261538,push,12.84,0.36,309,34
2,autoland,firefox,SJ_eWwB4Tlya_YyktiwSlA,75348,1546263377,push,17.21,2.04,278,28
3,autoland,firefox,ZK8B8zDJSw-_y3SQ-LAFvg,75349,1546264043,push,23.92,2.71,292,27
4,autoland,firefox,VN1qqsEnS2Sfl8AyvdIHPg,75351,1546271552,push,68.05,3.6,2034,93
5,autoland,firefox,Q3VCebeiRvqAsaPwKc7CdA,75352,1546271868,push,17.24,2.11,266,26
6,autoland,firefox,Qrj34XLsTcOXV8BB6xefyw,75353,1546272697,push,31.94,3.45,542,75
7,autoland,firefox,KPUhbfIKTRyyR4gfYu0D7w,75354,1546274273,push,17.36,2.15,266,25
8,autoland,firefox,ZIll9aDvRj-ImR1htMhTNg,75355,1546277055,push,62.93,3.48,2005,91
9,autoland,firefox,EzYLWJiGSbO8Io4J3jr1UQ,75356,1546281296,push,64.93,4.0,2064,126
10,autoland,firefox,UK7-vQS8QpK_5Q4ugdFyMw,75357,1546282541,push,22.79,3.48,359,34
11,autoland,firefox,WRTpowUMTXSbSdgbSoMQtg,75358,1546283786,push,23.23,3.7,327,32
12,autoland,firefox,OedTF0wpS6Cg_AJUpFdcvw,75359,1546283860,push,81.02,5.39,2291,134
13,autoland,firefox,GloSo2K0TKO-rC_eU8mzhg,75360,1546291774,push,80.32,4.96,2300,164
14,autoland,firefox,LcCJ8kZpSCKNdEmqcu0NTw,75361,1546292467,push,18.5,2.44,285,29
15,autoland,firefox,M7obk8klTQqq4LlezlzRxA,75362,1546303265,push,76.93,4.32,2236,129
16,autoland,firefox,OM7xv0NRS22MFYnfNMdbZw,75363,1546336457,push,66.73,3.93,2015,91
17,autoland,firefox,VNHM3kWGQbKZ5AEDxByeCw,75364,1546378358,push,66.36,4.34,2043,126
18,autoland,firefox,VxbFXfV2TYGCtxq2kM10ng,75365,1546397837,push,81.49,4.56,2254,128
19,autoland,firefox,bdtvtSXqTCSI0okE91oBVQ,75366,1546422758,push,65.62,3.93,2043,126
20,autoland,firefox,EVUOlIrLQgKWP1GavePtCQ,75367,1546425185,push,18.39,3.44,311,73
21,autoland,firefox,WJ7OnftlQVODvrtVMfVlQg,75368,1546428117,push,9.65,0.23,88,9
22,autoland,firefox,ZCxc_yNWQnaePhww2amxjQ,75370,1546428590,push,11.74,0.29,311,34
23,autoland,firefox,W4b5Mh2LRxqqX_cbxEvTmA,75371,1546429872,push,17.11,2.23,274,25
24,autoland,firefox,AWaylWCfTLm4ERBh6jWknw,75372,1546437788,push,65.18,3.99,2058,127
25,autoland,firefox,Tsfr1IGkTleXKeAoTAMI1g,75373,1546438319,push,21.8,2.47,289,33
26,autoland,firefox,EnnIRnn9T_60ZQGe0v8pcQ,75374,1546439992,push,17.72,2.12,286,26
27,autoland,firefox,Yn23h5qbRUaMVSjgJH9YTw,75375,1546440662,push,22.14,1.5,473,63
28,autoland,firefox,MkKjwQnpTT-U6j4GtN2FtQ,75376,1546442002,push,22.14,2.39,289,33
29,autoland,firefox,ZqCWnuA7QmalO9KALwNgrg,75377,1546442039,push,21.71,2.32,287,33
30,autoland,firefox,dd1D4RvLT2agevIMXwKeIg,75378,1546442312,push,17.7,2.32,263,26
31,autoland,firefox,U0m9sr8KRbSJIdF1KBOklg,75379,1546442367,push,17.45,2.16,265,26
32,autoland,firefox,QvXPtUbLRCmwzF2meHq83Q,75380,1546443762,push,65.52,3.59,2058,91
33,autoland,firefox,fLffmDnSS5Kvf-WEcKe_bQ,75381,1546444706,push,1.19,0.0,27,5
34,autoland,firefox,EadrMR6ORROQIRRG81QIsg,75382,1546445653,push,2.92,0.0,57,7
35,autoland,firefox,ViK083RbQWKbBKDY_TZKjw,75383,1546445737,push,17.96,2.27,263,25
36,autoland,firefox,Ay1D1bxGRjWQgN8CwWxXZQ,75384,1546446742,push,19.03,2.65,320,60
37,autoland,firefox,ellwo7OSQq6EcgcRCvg7kw,75385,1546447205,push,71.48,4.02,2048,93
38,autoland,firefox,Q--2F9wESRyZBqZAwJkD-g,75386,1546447241,push,10.69,0.23,94,9
39,autoland,firefox,WfCyYlwaQvKgQKBhU4EOeA,75387,1546447758,push,19.87,2.43,270,25
40,autoland,firefox,Uq_p0D1PTRiZ_IqsvEDzfg,75388,1546448211,push,23.24,2.54,286,28
41,autoland,firefox,Ht7-RIDdSl6UfyJgeKcXpw,75389,1546452324,push,65.33,4.08,2048,126
42,autoland,firefox,bDDjJy0mQ8OkqGDGuhprvg,75390,1546459650,push,12.88,0.35,310,34
43,autoland,firefox,ayGXvFULQTC499CyMWu4fQ,75391,1546460677,push,18.12,2.14,263,25
44,autoland,firefox,eSkEA7S2R1qIskmS3qCP2g,75392,1546461914,push,18.75,2.41,264,25
45,autoland,firefox,aHQmpNpTTCWi-37fEOJLzA,75393,1546463536,push,18.67,2.88,299,60
46,autoland,firefox,QwzV-_fvStKw61NoAfORnw,75394,1546465243,push,36.49,4.47,586,120
47,autoland,firefox,X1TGVUo3QduN7si21z_z4g,75395,1546465509,push,66.33,3.77,2009,91
48,autoland,firefox,K-Kj2OtbT_C_nKBBL_6U6g,75396,1546466485,push,18.45,2.42,267,27
49,autoland,firefox,GH5u1zUHRgS9qmqX92cCcQ,75397,1546467317,push,17.68,2.3,260,25
50,autoland,firefox,XOo0V6EmQfuBHacSe-QvhA,75398,1546468174,push,17.72,2.13,263,25
51,autoland,firefox,M0K-WI0kRvyNKck3Dow-kA,75399,1546468473,push,18.59,2.84,298,60
52,autoland,firefox,YQ3AWPwWTCOpBzRbeZ_2Fg,75400,1546469495,push,12.1,0.34,305,34
53,autoland,firefox,JUHKRkuQQS6Y9p9SqnjHBw,75401,1546471014,push,17.78,2.78,301,61
54,autoland,firefox,QgND0S-BS9aK_xZnQDHvWQ,75402,1546471583,push,74.91,4.24,2284,146
55,autoland,firefox,XxlItBVHReuyBU8NwmL9nw,75403,1546474908,push,76.29,4.11,2320,146
56,autoland,firefox,RQtBg7VtQQeqHx_pvH9VLQ,75404,1546474976,push,17.79,2.19,262,25
57,autoland,firefox,QTgIOI7eSw-MTDQbNg1Zgg,75405,1546475035,push,70.28,3.6,2089,94
58,autoland,firefox,L0Ziqt5JQXG1Ww2YiPg7lQ,75406,1546476190,push,22.98,3.05,318,62
59,autoland,firefox,RQ67JwJuRSq3yTnE_7Gjlw,75407,1546485626,push,67.08,3.87,2063,126
60,autoland,firefox,PKyzEi2nRLyLNWOKw6ctNg,75408,1546486498,push,17.37,2.19,263,25
61,autoland,firefox,dOYJWPOBRwu_0Exgi0SReQ,75409,1546487266,push,17.99,2.73,299,60
62,autoland,firefox,Cxo1YjPZT4CHEizBpUFECw,75410,1546488067,push,65.21,3.87,2019,94
63,autoland,firefox,Ce2wVnj5Qe-4pSweepuXbQ,75411,1546488355,push,18.42,2.54,266,30
64,autoland,firefox,I_iC-S6rRHKzmw66BPNSUw,75414,1546494927,push,18.62,2.19,263,25
65,autoland,firefox,bOMkpundTMevAcHGIba12w,75415,1546505447,push,79.22,3.82,2313,113
66,autoland,firefox,DMbf7YhNTSqZkK4XxMvhUQ,75416,1546505602,push,17.94,2.23,313,25
67,autoland,firefox,emOqmdt1Tg-fRijjXwuLLQ,75417,1546505846,push,31.57,2.45,560,47
68,autoland,firefox,OX2xwBbuTDqiJySpF52OOQ,75418,1546506562,push,18.2,2.3,314,25
69,autoland,firefox,Riq_UXbkQ--3kIm7QCfKbQ,75419,1546506970,push,33.64,3.17,592,82
70,autoland,firefox,K1_o9RWASW-H0U0ZdBRHwg,75420,1546508715,push,65.47,3.72,2109,91
71,autoland,firefox,JBjep_O-TnCyTUp0LEf2Rw,75421,1546509871,push,73.81,4.2,2354,146
72,autoland,firefox,awafQbiQQeSs2SpYEq8F0A,75422,1546510968,push,17.06,2.4,358,60
73,autoland,firefox,GyKK4uPUSL6JTVW2s-Jgzg,75423,1546513881,push,10.01,0.25,160,10
74,autoland,firefox,T7zRt13XTFacGPxw6s04Ig,75424,1546516380,push,18.23,2.73,362,61
75,autoland,firefox,ch1BdqSPTryZWt3OUmpBag,75425,1546518651,push,63.89,3.72,2096,94
76,autoland,firefox,EpCcp5zDS3uOQx_aCbfbaQ,75426,1546518979,push,18.41,2.66,304,28
77,autoland,firefox,S_mpAa6ST5OjoZ477pvpWw,75427,1546522708,push,63.67,3.39,2089,92
78,autoland,firefox,V-yUKNFARPyxrzcoXWNECg,75428,1546522814,push,17.25,2.21,268,27
79,autoland,firefox,X9L8UkP9Rcev8qSul2z9CQ,75429,1546523546,push,17.53,2.18,266,26
80,autoland,firefox,Zz1wwT6UTH-N1eJIc8K9kw,75430,1546524580,push,65.25,4.01,2043,126
81,autoland,firefox,XK0_6_VwSrG2uQJ-VU_FPw,75431,1546524801,push,9.86,0.24,95,10
82,autoland,firefox,YGWbuME0T1e9GkST8DWN6Q,75432,1546525094,push,1.66,0.02,33,6
83,autoland,firefox,PP9A9rCWSz6V1enZUh54jA,75433,1546527305,push,17.88,2.69,301,61
84,autoland,firefox,X8iWfhDJT4uouvKAMba7iw,75434,1546530291,push,19.32,2.51,279,25
85,autoland,firefox,bR_GJ_8lR9Ou3kJj_yvqmw,75435,1546532172,push,65.31,4.04,2040,126
86,autoland,firefox,Zz3UGYW3SkKyBOWycJAp2Q,75436,1546533102,push,34.66,3.36,542,86
87,autoland,firefox,QFqFtgClS5qh2QYPvweH_w,75437,1546534500,push,34.11,2.62,504,48
88,autoland,firefox,Vyk3ArB2TvqdbjtzqpAi5A,75438,1546539112,push,66.11,4.15,2046,126
89,autoland,firefox,IP9NwzXpQa-1zKIUbfZ6Vg,75439,1546539573,push,23.07,2.49,289,29
90,autoland,firefox,TXXaTIj9SPKfavewhfnHuw,75440,1546541288,push,65.56,3.85,2007,91
91,autoland,firefox,O3vmo8aXQQqiO5L3UOKF3Q,75441,1546542558,push,23.24,2.54,280,27
92,autoland,firefox,FzdU3L69TSSIunZaGSfjPw,75442,1546542925,push,18.96,2.42,269,29
93,autoland,firefox,KKNRfxWxQNCowqD-gYy7Pw,75443,1546543134,push,23.63,2.65,287,28
94,autoland,firefox,OqofD0vdR8W8GiQ3H26IGQ,75444,1546543363,push,32.54,2.29,502,47
95,autoland,firefox,fE8oesS7Tl-ew3U1x7OsCA,75445,1546544624,push,65.32,3.77,2015,91
96,autoland,firefox,QO8jwYXxTRGnTRBKjAKIWQ,75446,1546545059,push,18.91,2.22,263,25
97,autoland,firefox,XtrFxMC1Q-Kb52XcIlGqDA,75447,1546546674,push,18.23,2.53,263,28
98,autoland,firefox,KwdTNV5mQkOoF41eARwVGg,75448,1546547886,push,23.04,2.35,281,27
99,autoland,firefox,Ks0O3Rt8RYy2bDBVj9pNUA,75449,1546547922,push,18.22,2.24,263,25
100,autoland,firefox,IjZyXn8sR2WUSPswTQJZ3w,75450,1546548823,push,63.9,3.38,2005,91
101,autoland,firefox,MnlzyT2ISJKFyQlyKF9kzA,75452,1546550035,push,19.77,2.53,263,25
102,autoland,firefox,SoHYK3UGSMyOjT0fX3SC-g,75453,1546550248,push,19.35,2.3,269,25
103,autoland,firefox,Wfl3K-qvSEaspXxl3kxY9Q,75454,1546556645,push,10.17,1.59,2279,148
104,autoland,firefox,JRs-HixNQ9agFg2O1AYhkQ,75455,1546556933,push,9.0,1.4,2025,93
105,autoland,firefox,Cl4ULYEeR-SAj7zwOmiCGg,75456,1546556999,push,3.48,0.76,299,60
106,autoland,firefox,OvDpfPzeQF-061SUB0WxIg,75457,1546558344,push,18.49,2.3,263,25
107,autoland,firefox,K-g3xTocTAuFUufsBgepAQ,75458,1546558653,push,18.59,2.58,263,28
108,autoland,firefox,AxfUkRW3T4eB5lnUDR3l6w,75459,1546562502,push,69.84,4.24,2064,130
109,autoland,firefox,T6CpFEJ2SxWHqZ1dZAQ0gQ,75460,1546562550,push,66.49,4.67,2042,127
110,autoland,firefox,f6HvA6SSToyKNPym_4WPOQ,75461,1546565975,push,16.94,2.22,253,25
111,autoland,firefox,Kf0tab2bRxGEBGCBpJsqRg,75462,1546572031,push,65.34,3.79,2013,92
112,autoland,firefox,Ri0ciDmyQFGMRQ8uIIpUKQ,75463,1546573627,push,18.11,3.03,289,61
113,autoland,firefox,bynlvw8UTvGn8eDrdpmeGQ,75464,1546575742,push,17.11,2.45,251,29
114,autoland,firefox,X_GajyfHQxWce5SoYhyk2g,75465,1546584066,push,65.26,3.56,2005,91
115,autoland,firefox,fDUwn__3SNO5Zq4Q2V53OQ,75466,1546586744,push,18.28,3.09,295,60
116,autoland,firefox,eJOK9Pc_SHKP_kSJPTqphg,75467,1546591429,push,65.71,4.41,2055,129
117,autoland,firefox,Bd3uNpGuTiqHTjDjAxYo7A,75468,1546591995,push,16.94,2.27,250,25
118,autoland,firefox,bSIl3kRKT4-3m2GeILkgdw,75469,1546592149,push,17.26,2.31,249,25
119,autoland,firefox,T1wIrtxkTOSAFMXQPXTq9Q,75470,1546598852,push,11.92,0.3,310,34
120,autoland,firefox,XfofhR2PTvebp2UlIpDftQ,75471,1546598990,push,18.32,2.95,290,61
121,autoland,firefox,SNuToN-aQ2aS_lAxUgdMNw,75472,1546600066,push,17.42,2.83,285,60
122,autoland,firefox,JELQvdoBSgqw8LTAl-b5Ng,75473,1546606020,push,65.72,4.07,2046,128
123,autoland,firefox,XqyhSxJ_TF2p7HbfFjO7CA,75474,1546607138,push,19.44,3.12,431,117
124,autoland,firefox,CWJcg2uRQMahKGbHfIcY_A,75475,1546608147,push,63.93,3.56,2007,95
125,autoland,firefox,H3WPqqeNSxyqRMEGuPDHrQ,75476,1546608346,push,17.32,2.33,250,28
126,autoland,firefox,Ty5re90TRjSLkM_RyTRHWQ,75477,1546608420,push,17.51,2.61,250,28
127,autoland,firefox,LO9DrkWPTCGN0eVkGaelFA,75479,1546609329,push,17.26,2.71,289,62
128,autoland,firefox,fgUcv0ynSSeB6JQYKVXURA,75480,1546610023,push,64.18,3.9,2055,128
129,autoland,firefox,aF-qFwlTQh63n8GKzV9FPA,75481,1546610854,push,16.51,2.05,253,28
130,autoland,firefox,JgEWDeYnRfmHgk3ilJBVqQ,75482,1546615954,push,35.68,3.43,2025,95
131,autoland,firefox,Lvp0BuPGRdSq4oLHmAxoJA,75483,1546616367,push,12.26,2.5,253,28
132,autoland,firefox,e7ykXS5LRI-xtAv3RqlnEw,75484,1546617768,push,11.97,2.2,250,28
133,autoland,firefox,JKiccxAtRn-aeAOZQkLw_A,75485,1546618494,push,46.76,3.8,2276,148
134,autoland,firefox,bt0cnM2tS3m4aK9QFBe1Pw,75486,1546618660,push,13.47,2.25,250,25
135,autoland,firefox,Y8GME4uaSmmpa9HtQ1qTsQ,75487,1546618751,push,13.56,2.39,250,25
136,autoland,firefox,N8XmGCqnSwSlpPoIHQJ_cQ,75488,1546619436,push,22.4,2.71,270,29
137,autoland,firefox,M1RMV0ZUT5qFjhpNAafFbQ,75489,1546619640,push,33.5,3.27,522,82
138,autoland,firefox,WKsU-vAKS2OE7vVsXgWO8g,75490,1546619744,push,66.79,4.45,2064,129
139,autoland,firefox,PvgFZ95CQy-2xdu0EeAMvw,75491,1546620026,push,17.83,2.49,251,26
140,autoland,firefox,LUPWSTJoTLmdBUWflhs5bQ,75492,1546621249,push,32.11,2.99,520,82
141,autoland,firefox,Gd78cTXIQxmzlSe10GyMhA,75494,1546623475,push,17.41,2.7,297,63
142,autoland,firefox,cblCfHOnR0qYvHeFeCHoXg,75495,1546624159,push,77.61,3.58,2238,113
143,autoland,firefox,YMmeATDNQCipMNToG9VW8g,75496,1546624635,push,16.64,2.36,253,27
144,autoland,firefox,EfBPKU5EQ5ayWoxCS_34qA,75497,1546624915,push,16.36,2.23,264,29
145,autoland,firefox,ezgggIz5S5-mK2IW_SPUnQ,75498,1546625370,push,16.54,2.01,252,26
146,autoland,firefox,QR01C1DuTseD-QJROgeA3g,75499,1546626307,push,18.74,2.78,310,60
147,autoland,firefox,Ui5Fw0IZTO-0ulHGulsaQQ,75500,1546627228,push,66.18,3.5,2047,92
148,autoland,firefox,I71ZL1PuS_KCfTVVysKcWw,75501,1546629840,push,16.87,2.15,250,25
149,autoland,firefox,NlftTBmpQFqC_R0V8yEYkA,75502,1546630383,push,17.8,3.37,298,73
150,autoland,firefox,b38bFVxHQoKVw97CMdpmRg,75503,1546630706,push,17.48,2.51,250,28
151,autoland,firefox,A18fzp7YR4qNmVJD10mQqQ,75504,1546632659,push,17.07,2.3,252,27
152,autoland,firefox,Nc-aiaFUSb-DHjzPyPayCg,75505,1546633184,push,64.5,4.01,2040,126
153,autoland,firefox,ckMhnaftQb-bmWVT6ePoyg,75506,1546633835,push,17.4,2.75,287,60
154,autoland,firefox,T2kO3A_pQQyZhxIhd6Ljig,75507,1546641442,push,74.54,4.08,2252,146
155,autoland,firefox,Tsg2xOYrR9SAg8SrI9zZLg,75508,1546646848,push,66.86,4.25,2073,126
156,autoland,firefox,KLRc7SXmSUS1X18KTtNgtg,75509,1546648447,push,19.6,3.24,284,60
157,autoland,firefox,LyCHQzl3QW2YMKi9KnoSCA,75510,1546654043,push,65.67,4.28,2045,127
158,autoland,firefox,Qt3jw4xzQkGTW989uIFXnA,75511,1546656535,push,17.94,2.45,251,29
159,autoland,firefox,Y39ai65vRnSX1WoeR_8emA,75512,1546660304,push,65.66,4.18,2040,126
160,autoland,firefox,EKo8ndULREC7Z4Vf4imMqw,75513,1546661663,push,33.57,3.46,529,88
161,autoland,firefox,QKXLZDOASdeJc-qQVv1T8g,75514,1546677268,push,77.37,4.61,2258,148
162,autoland,firefox,b39F9TXEQYSJ_wCpTF_1yg,75515,1546686279,push,64.74,3.58,2002,91
163,autoland,firefox,FkHktZH0S46mN6BvYoymSw,75516,1546689763,push,17.09,2.67,283,60
164,autoland,firefox,OK38hbW_QdGSnVuyuW7uiw,75517,1546689979,push,18.07,2.37,250,26
165,autoland,firefox,YpdQdbRZQJyXMOkIIIOLjA,75518,1546692090,push,17.75,2.9,287,60
