,project,product,groupid,pushid,graph_date,origin,totalcost,tier23_cost,taskcount,tier23_taskcount
0,mozilla-inbound,firefox,EuvrFddsQ8C9PlauSGns1w,110826,1546255475,push,63.83,4.46,2063,139
1,mozilla-inbound,firefox,ZnL-gbwYTG2ES4uEmf4-rA,110827,1546257287,push,17.23,2.06,265,26
2,mozilla-inbound,firefox,UITfSx6DQ96WTLhVooEZsQ,110828,1546257430,push,17.87,2.35,263,25
3,mozilla-inbound,firefox,OO63wT6JQJSIuJ5t38ZGiQ,110829,1546263253,push,65.0,4.06,2056,126
4,mozilla-inbound,firefox,X-gsCtXgSryFbdxah2eXug,110830,1546269022,push,65.01,3.46,2032,91
5,mozilla-inbound,firefox,fR-X5XxyS5C-goWTphrGjg,110831,1546270195,push,23.42,3.5,342,85
6,mozilla-inbound,firefox,H4aFLJKrSrCuwKFmXj19QA,110832,1546272819,push,17.35,2.15,263,25
7,mozilla-inbound,firefox,Y32pBa2NQWyJgTHsurOQyA,110833,1546273098,push,17.19,2.25,265,27
8,mozilla-inbound,firefox,Fe1NGYQITx6lKyW2vnVEbw,110834,1546277596,push,62.74,3.41,2004,91
9,mozilla-inbound,firefox,U4JtPy7PQiKH66Hl7ipNsw,110835,1546280085,push,78.02,4.25,2262,135
10,mozilla-inbound,firefox,Tczf0ZkiSdmejnTWz4Nw8Q,110836,1546281988,push,17.3,2.12,275,34
11,mozilla-inbound,firefox,eAdn4qEFSJm9Nkj3ugqSWA,110837,1546282860,push,19.07,2.48,263,25
12,mozilla-inbound,firefox,Nm1F4d9-S-i8ibqmOX3FFw,110838,1546287893,push,76.79,4.34,2232,126
13,mozilla-inbound,firefox,B1ecYsv0QTK3ZsviBcV5LA,110839,1546291858,push,68.06,4.29,2067,128
14,mozilla-inbound,firefox,HNR_FP5mTzauDk7AD4CeLA,110840,1546294560,push,73.45,3.73,2235,126
15,mozilla-inbound,firefox,dd1rixw7Sy-yRJqkLFLeVQ,110841,1546334209,push,66.27,3.67,2004,91
16,mozilla-inbound,firefox,BOasx4KFR8mkimFak0bP8A,110842,1546336590,push,18.98,2.66,277,32
17,mozilla-inbound,firefox,Wiy_XXnaSi2kae25m3YzSA,110843,1546340227,push,62.73,4.2,2040,126
18,mozilla-inbound,firefox,KzlhrzaORJOs6IXo6ZUqXQ,110844,1546340537,push,16.91,2.22,262,25
19,mozilla-inbound,firefox,O1gni-QqQ06S_R7KBA7ylw,110845,1546340625,push,63.05,3.97,2059,126
20,mozilla-inbound,firefox,VMN1dFt4RbuJhd3u6wdRwQ,110848,1546371535,push,68.3,4.55,2048,126
21,mozilla-inbound,firefox,UQ7zabl3T9Ki65dveMX9Lg,110849,1546376499,push,67.75,4.11,2004,91
22,mozilla-inbound,firefox,R12ebq0MTred58h5-sZHgQ,110850,1546397765,push,68.23,4.06,2006,92
23,mozilla-inbound,firefox,Jfdas_ZSTRW922yN7FzSkQ,110851,1546413699,push,67.1,3.79,2022,92
24,mozilla-inbound,firefox,b87KNeg2SGGQmzWP0SmnYg,110852,1546422834,push,78.09,4.32,2260,129
25,mozilla-inbound,firefox,acfOmKfoTa2qee2DysZxWA,110853,1546425078,push,2.34,0.05,43,9
26,mozilla-inbound,firefox,W0qcdYAjQfW95o_E3yUiGA,110854,1546428570,push,32.51,3.96,566,89
27,mozilla-inbound,firefox,Ry7xd0MmTQqJQDaa3Yb4mg,110855,1546431215,push,64.26,3.53,2004,92
28,mozilla-inbound,firefox,V1ua7ja2QpSCWQdZ61GoTA,110856,1546433674,push,33.28,4.14,537,86
29,mozilla-inbound,firefox,eSdS-uaBQma6NCc1XmNieg,110857,1546443914,push,79.69,5.29,2301,152
30,mozilla-inbound,firefox,Kr5u6OUaSNi_Cw0wo9LTkw,110858,1546445938,push,18.37,2.8,300,61
31,mozilla-inbound,firefox,EwIQ1xf8RnalEZ6aubu1Gw,110859,1546447485,push,17.36,2.08,264,26
32,mozilla-inbound,firefox,Nglnn7ZfTYCQIwQu5tdasw,110860,1546447856,push,68.78,3.53,2051,105
33,mozilla-inbound,firefox,Lnn9-LoTTQSoSPOPIhHL0A,110861,1546452643,push,65.62,3.47,2003,92
34,mozilla-inbound,firefox,ZwZWlaIkQ4io1ghgO8wVfA,110862,1546453166,push,32.06,2.35,503,50
35,mozilla-inbound,firefox,ch5ZSV2aRuuRCE_n57sRDg,110863,1546453469,push,19.57,2.53,263,25
36,mozilla-inbound,firefox,ZP4MSPvkTxCgTPGO9hdWow,110864,1546454710,push,18.93,2.53,263,25
37,mozilla-inbound,firefox,Rau8jfOMSeymu8SlQZFTpQ,110865,1546459793,push,71.72,4.08,2028,93
38,mozilla-inbound,firefox,OQNpNqH6Si-nAkdtU2xJtw,110866,1546463200,push,32.96,2.45,502,47
39,mozilla-inbound,firefox,NM8C3PbVSXe39fp8hBX74A,110867,1546463909,push,18.58,2.28,269,25
40,mozilla-inbound,firefox,KPHlRlsyS5i8YcubQxz-HA,110868,1546464348,push,32.14,2.43,496,47
