,project,product,groupid,pushid,graph_date,origin,totalcost,tier23_cost,taskcount,tier23_taskcount
0,autoland,firefox,BruqVoJmRrGEBWs3hb62Cw,72060,1540985827,push,58.08,4.15,1880,108
1,autoland,firefox,XdpwoG0SRhGnAa_LtnbeSw,72061,1540986277,push,15.67,3.28,369,69
2,autoland,firefox,Gm3hV9GVQEW-g-C_V0w4eA,72062,1540987227,push,15.5,2.83,310,34
3,autoland,firefox,MXaeJoFZQy2dQfhT_-NjVg,72063,1540987481,push,15.86,3.34,328,69
4,autoland,firefox,CzVznTSbQP-C-de7wLWing,72064,1540992811,push,57.37,3.95,1866,110
5,autoland,firefox,Nv5E5zvsQgSkDvCJcAdoag,72065,1540992845,push,58.55,4.52,1901,143
6,autoland,firefox,EO8pktlGQxeUvNr2eY2PSA,72066,1540993192,push,9.3,0.28,131,12
7,autoland,firefox,VAfYj7c0TbONJCFa7f-xVQ,72067,1540993303,push,15.11,2.76,290,34
8,autoland,firefox,XumMpS8iQM6xbkLw8GuEPw,72068,1540993572,push,16.17,3.2,349,69
9,autoland,firefox,BnOqKHI-Qtee8f8tbyKdVA,72069,1540994316,push,15.64,3.3,345,69
10,autoland,firefox,INWWfYytRvWcLkaJSy66nw,72070,1540994688,push,69.53,3.98,2122,110
11,autoland,firefox,TMNjIY_mSgqdxfxm--Gu8w,72072,1540995477,push,29.49,3.35,557,36
12,autoland,firefox,OS8_ltTVTvaQEubpiQ9zRg,72073,1540996189,push,28.96,3.01,558,36
13,autoland,firefox,bHobxtMuT52MHFRHUxg_RA,72074,1540996838,push,16.38,3.41,328,69
14,autoland,firefox,AVl03bSERTSzrpJWEGnxDw,72075,1540996937,push,56.63,4.33,1896,143
15,autoland,firefox,KGJhPwJfTiOWomFe40Y8ZQ,72076,1540997012,push,3.98,0.51,228,41
16,autoland,firefox,Q8s6WODySrOn4xycngYYQQ,72077,1540997782,push,15.96,3.42,331,69
17,autoland,firefox,C02bmFYtSaKJs5SNa6_hgA,72078,1540999207,push,15.58,3.45,337,69
18,autoland,firefox,L7hofGpIR2yqZwoKADpkwA,72079,1541000304,push,4.88,0.55,113,42
19,autoland,firefox,dXfRMxQ0Rwa1MQhCoNkhSw,72080,1541002125,push,61.37,4.28,1985,109
20,autoland,firefox,ahQWILb7QeKbvRZoL1Qsmg,72081,1541002603,push,16.55,3.61,332,69
21,autoland,firefox,dtrgolD3TVeHwhp7J6eEJA,72082,1541002706,push,21.11,3.19,313,36
22,autoland,firefox,K5cYEfRkTDiSN_FBdpzY-w,72084,1541002884,push,30.59,3.56,595,71
23,autoland,firefox,U982LP2oTG2wzVsefl1LAQ,72085,1541002917,push,61.38,5.23,1906,143
24,autoland,firefox,asjiL0JKSSeBO7uYqU-0xg,72086,1541002955,push,1.46,0.1,77,6
25,autoland,firefox,TjVMVkJrS8aXrhEn-CiM7w,72088,1541003074,push,15.9,3.23,329,69
26,autoland,firefox,E72cBG5kRIKQ_s0kXrGlIA,72089,1541003155,push,21.51,4.23,355,72
27,autoland,firefox,Zodoa6mpTeCmUKa-TKLaUw,72091,1541003536,push,10.2,0.84,173,47
28,autoland,firefox,QmYojlBMRKuX7pBuBEB6wg,72092,1541003931,push,33.14,4.73,633,101
29,autoland,firefox,cQfuKLGISJud_Erl--d6xg,72093,1541006029,push,18.26,3.65,338,70
30,autoland,firefox,TT53vRXjST6JSwuAfHmW-w,72094,1541006195,push,17.87,3.88,335,69
31,autoland,firefox,dkTWD9lmSlSzRXBPvVaMsw,72095,1541006677,push,59.08,4.79,1942,149
32,autoland,firefox,YVcqk2uOSvuL4VwLgv2pkg,72096,1541007272,push,30.29,3.35,600,71
33,autoland,firefox,I3DcaLFiRx6VuiImlzeTGA,72097,1541008369,push,17.18,3.53,332,69
34,autoland,firefox,SBA7ZIn0TBiIIBUZPr59sA,72098,1541008458,push,16.96,3.3,332,69
35,autoland,firefox,Pa5rx0zmRdOGRSzWME4lnw,72099,1541008799,push,17.68,4.02,334,69
36,autoland,firefox,EzzpJot6RDe1PLtxW0ergQ,72100,1541008840,push,58.44,4.91,1895,148
37,autoland,firefox,IWiWnNY1QAywxjih1gNDEQ,72101,1541008895,push,17.71,3.91,337,75
38,autoland,firefox,P58Egog_TXyMe4LTOlgk4Q,72102,1541011095,push,17.31,3.32,295,34
39,autoland,firefox,LaMTdWYRQKG-dYhoc2MEVA,72103,1541011647,push,17.29,3.2,295,34
40,autoland,firefox,FKd8vuWvTq6F_JWdAk2vfA,72104,1541012501,push,17.07,3.29,330,69
41,autoland,firefox,DolGApoyTx-02r_e9YJAvg,72105,1541012631,push,57.92,4.56,1898,148
42,autoland,firefox,E-7Wq9YmS4uSEp1RD8NSHA,72106,1541016506,push,61.81,4.18,1881,115
43,autoland,firefox,E4zZZ6I1R3-q__O7tzNeDg,72107,1541018397,push,16.54,3.11,296,34
44,autoland,firefox,XbndyU2VTw-OFsUYtkY8yQ,72108,1541019127,push,20.42,3.34,323,39
45,autoland,firefox,T0c1EO3vSOOU4KB6jEQcgQ,72109,1541020122,push,20.03,3.34,326,39
46,autoland,firefox,b9fwUkb9TS-EI9YdwLw6_w,72110,1541020549,push,64.15,5.43,1957,122
47,autoland,firefox,FCd3PjTeQsWVMsOUFNDMhQ,72111,1541022291,push,22.99,4.29,384,97
48,autoland,firefox,X4FywW8oQ_ObG7b4IJozSQ,72113,1541024877,push,17.45,3.68,333,69
49,autoland,firefox,QF-5Vly_SA6s8JL5Z8foZQ,72116,1541025018,push,23.71,4.33,397,45
50,autoland,firefox,AANX5vigS0aV3_Qx0sLKYg,72117,1541025056,push,13.28,1.52,209,18
51,autoland,firefox,BXi0VcLhRNm-NW2HxVDATA,72118,1541025089,push,0.43,0.05,374,42
52,autoland,firefox,eYcWWn_6SM6P0w3j8k33AQ,72119,1541027236,push,10.42,0.85,173,47
53,autoland,firefox,STMOGmmXQjqAp3gRiqYwkA,72120,1541027513,push,62.36,4.4,1858,113
54,autoland,firefox,fwCwjXThS2C-3h9nxTeJSA,72121,1541028015,push,30.64,3.62,618,71
55,autoland,firefox,VM3NWxrVQuaul9dD8furtg,72122,1541030618,push,9.17,0.25,127,11
56,autoland,firefox,ZTvsdIiOTeybNfUO3RyCTA,72123,1541030699,push,16.44,3.65,383,42
57,autoland,firefox,eYfDie9QR9GavLYV3NCwbA,72125,1541031486,push,19.67,1.03,358,27
58,autoland,firefox,AWLTowZSQiyr0bKjmTVjJw,72126,1541034430,push,16.24,3.42,325,69
59,autoland,firefox,Q2zpqjlATymIAUpESVDnbw,72127,1541038750,push,0.46,0.13,2224,155
60,autoland,firefox,BVhGjJwGTW-FN6VdJcXxWQ,72128,1541040194,push,74.57,6.14,2189,151
61,autoland,firefox,Agpbqg5wTmaoQsV4xkz-rQ,72129,1541040242,push,19.97,4.5,378,73
