,project,product,groupid,pushid,graph_date,origin,totalcost,tier23_cost,taskcount,tier23_taskcount
0,mozilla-inbound,firefox,S3Vc6PnpSFGdR7crzhABYQ,109427,1540987458,push,59.34,4.73,1939,117
1,mozilla-inbound,firefox,SbS0aJBSTK2pEq5X9-T6tQ,109428,1540990402,push,28.74,2.89,558,36
2,mozilla-inbound,firefox,Nun0Ipe2RieY-3mON7JziA,109430,1540993029,push,72.83,4.35,2125,115
3,mozilla-inbound,firefox,erGtc_wkTyqX0_19cR-hFA,109431,1540993884,push,28.27,2.55,1885,115
4,mozilla-inbound,firefox,ZG_Lbq0sTOCYFP2b52lduA,109432,1540996270,push,60.4,3.99,1893,115
5,mozilla-inbound,firefox,FFf--snTQ_ixvXzR3c8Zmw,109434,1540997256,push,15.94,3.43,328,69
6,mozilla-inbound,firefox,Pm9ZQsKaRHa3FT5hpgehiA,109435,1540997299,push,56.98,4.45,1912,148
7,mozilla-inbound,firefox,S3ax5cw5RWKqUe-rUYtzKw,109436,1540997607,push,16.51,3.74,392,95
8,mozilla-inbound,firefox,QbADCgrwR6CmSBwv6oRcGA,109439,1540999826,push,15.34,2.66,293,34
9,mozilla-inbound,firefox,AR_vuOPmTdaCk0w5UW_Zpw,109440,1541004328,push,74.7,6.66,2203,180
10,mozilla-inbound,firefox,NRb2AYxHTMmHgcS2lDCOkg,109441,1541007041,push,20.23,3.49,349,71
11,mozilla-inbound,firefox,fkgZU2h_TzOTZ1ClL22CJg,109442,1541009474,push,16.17,3.29,328,69
12,mozilla-inbound,firefox,KepW7rK9S6SesMdlsKRIRQ,109443,1541009635,push,2.43,0.04,55,7
13,mozilla-inbound,firefox,VReTJzIOQ5GKwmgfcY55vQ,109444,1541010008,push,16.66,2.96,294,34
14,mozilla-inbound,firefox,UETPkvLQQWKf3aOI4c_ZVA,109445,1541011239,push,56.51,4.18,1872,116
15,mozilla-inbound,firefox,Ep55I6kGTmWFwIfFkosNOw,109446,1541011636,push,15.75,2.99,293,34
16,mozilla-inbound,firefox,QIayYlF6TXq1psxw8yTquA,109447,1541011888,push,16.15,3.43,328,69
17,mozilla-inbound,firefox,OmJ0sUM1RKyGccjpcX4g7Q,109448,1541012280,push,16.7,4.05,338,80
18,mozilla-inbound,firefox,fKJtMnh_R1yNYAPFTqdZyQ,109449,1541012498,push,20.47,3.73,350,71
19,mozilla-inbound,firefox,GgB4It8oTR2fhXYqMVfIRw,109450,1541012916,push,56.88,4.47,1901,148
20,mozilla-inbound,firefox,PfyrbFe-RIOHWB6Sve-5ZA,109451,1541015688,push,15.9,2.88,293,34
21,mozilla-inbound,firefox,SL0v9voOS7WgDU8YudFDbQ,109453,1541018148,push,15.51,3.1,328,69
22,mozilla-inbound,firefox,bRGI9gCrR8C6tI1b19xtLA,109454,1541019924,push,15.4,3.21,329,69
23,mozilla-inbound,firefox,TunAJlvjR3-PwFNRh7rdgg,109455,1541022391,push,75.52,7.72,2219,185
24,mozilla-inbound,firefox,VWBDRT0ERsm0qNrEco3j7w,109456,1541024205,push,28.81,2.85,557,36
25,mozilla-inbound,firefox,Ar2BrarBTdKsh2nR4CBBLg,109457,1541028242,push,61.45,4.02,1889,115
26,mozilla-inbound,firefox,EFjIpmeUTZ2RKoA8c4P7nQ,109458,1541029717,push,15.24,2.77,294,34
27,mozilla-inbound,firefox,ErhnCzqeTy28PBBV1HRFNw,109459,1541034903,push,57.43,4.4,1905,148
28,mozilla-inbound,firefox,D1lit_k9RtWzJj0jDe-GOg,109460,1541038964,push,66.99,4.26,2144,154
29,mozilla-inbound,firefox,KFscAEwNQCK3Ky72FROeOQ,109461,1541039633,push,27.89,2.83,556,37
30,mozilla-inbound,firefox,RTR2JgsIQQS8Tvz01Jl-iA,109462,1541041555,push,18.88,2.79,311,37
31,mozilla-inbound,firefox,aDbyp3ZUTUy2YZJ9N03IqQ,109463,1541047324,push,58.39,4.78,1911,167
32,mozilla-inbound,firefox,RnG6W8KCT5KfMENdfNNNGw,109465,1541049484,push,45.68,2.32,1872,119
33,mozilla-inbound,firefox,NVG6qviUQEiqjTu1eWIKnA,109466,1541052803,push,8.89,0.26,127,11
34,mozilla-inbound,firefox,YE9-Z0dISvqQ5PZZp_i_oA,109467,1541054099,push,15.53,3.3,327,70
35,mozilla-inbound,firefox,NWBrGcbFTGihPUxlBG7ddw,109468,1541055286,push,14.67,2.54,302,35
36,mozilla-inbound,firefox,La6Ke5AnSSewkzjC6izfOg,109469,1541056273,push,67.31,2.09,2142,136
37,mozilla-inbound,firefox,aADqMsUeRWOr1zE85i0h2Q,109470,1541064109,push,57.12,4.41,1916,154
38,mozilla-inbound,firefox,Kvg0WU_rRQOOVjPNLnnY9w,109471,1541065597,push,30.1,4.12,636,89
39,mozilla-inbound,firefox,LOSacENjQHynnsj_A9q3Kw,109472,1541070677,push,58.38,4.78,1972,156
40,mozilla-inbound,firefox,EPiyQDilR5WDDr9JSGQw5g,109473,1541077131,push,71.31,3.97,2172,121
41,mozilla-inbound,firefox,fZVdzBTiRnm0Q2XQJpYyUw,109475,1541084068,push,58.93,4.71,1992,163
42,mozilla-inbound,firefox,SRfTHpAnRC6TEmNKRONWrA,109476,1541087332,push,16.47,3.52,353,72
43,mozilla-inbound,firefox,DhSCKvy1Q2CR2fdIQTuX4Q,109477,1541088348,push,15.66,2.58,321,37
44,mozilla-inbound,firefox,Hlys6tCvRvOQgMurWhhCHQ,109478,1541089481,push,15.2,2.81,308,37
45,mozilla-inbound,firefox,JN-y9tZyRgGwLGeRtMnocg,109479,1541089838,push,15.96,3.27,334,72
46,mozilla-inbound,firefox,OzLAW8D8QGe9zUkbY6gdnA,109480,1541090789,push,58.37,3.96,1917,136
47,mozilla-inbound,firefox,GcQqXaSlTMObKymtuzwxMw,109481,1541091479,push,15.3,2.68,318,36
48,mozilla-inbound,firefox,S0n-4JdAQ5iXSHjQOhR8wA,109482,1541092109,push,14.8,2.81,294,36
49,mozilla-inbound,firefox,e411Rt__SPaNhZ_4GfRUJg,109483,1541093745,push,41.73,5.3,661,63
50,mozilla-inbound,firefox,avJT4lX6Q6uKO7M08MB0Hw,109484,1541094323,push,14.79,2.62,293,36
51,mozilla-inbound,firefox,HqH9Sv3rTs2q23LdoYn4NA,109485,1541095098,push,61.41,3.97,1892,121
52,mozilla-inbound,firefox,YWxdSZLITvm8QGT0gsfuDg,109486,1541096699,push,15.65,3.16,344,71
53,mozilla-inbound,firefox,QX9Zj_bxRV2U-NWHpA4mFw,109487,1541096751,push,27.66,2.87,554,37
54,mozilla-inbound,firefox,O57vOLUXRaG-9YbToMYbLg,109488,1541097119,push,14.53,2.67,292,35
55,mozilla-inbound,firefox,KuPgeQ_tTZCgEgbS0dC7_Q,109489,1541102988,push,62.34,2.0,2118,134
56,mozilla-inbound,firefox,WBFRSo2TTsKJMAvXCZgDiw,109490,1541105846,push,55.37,3.79,1872,120
57,mozilla-inbound,firefox,DU4B1AoARKGooHr4rAMCxw,109491,1541105955,push,15.55,2.91,294,35
58,mozilla-inbound,firefox,GovefKpvTciTHZWQC_RQ9w,109492,1541108293,push,17.29,3.69,357,96
59,mozilla-inbound,firefox,b8gfc6cFQyCDaxDpi1mhKg,109493,1541108826,push,15.88,2.83,293,35
60,mozilla-inbound,firefox,X20QUfeiSIqTq_7vRYw20Q,109494,1541111977,push,31.99,5.31,646,108
61,mozilla-inbound,firefox,P5xi1yfcTaiX1hkrxn2cpQ,109495,1541114328,push,57.89,3.85,1887,119
62,mozilla-inbound,firefox,GCw9_72pTvKIqWLZd_owHA,109496,1541114806,push,15.1,2.66,291,35
63,mozilla-inbound,firefox,NiUhXI-NRzqmY8sh7--qOg,109497,1541117450,push,17.37,2.75,267,39
64,mozilla-inbound,firefox,JPTCD2WZQZewYgsGdltdTw,109498,1541124014,push,56.6,3.94,1876,119
65,mozilla-inbound,firefox,MhVeLgZJRBW0pOlGlKfv9Q,109499,1541126663,push,14.27,2.82,248,36
66,mozilla-inbound,firefox,QUrwJE6qQ9CCTgONiypaQA,109500,1541132346,push,59.28,4.47,1878,119
67,mozilla-inbound,firefox,LeBiH8R-Tpujdo39-tbGLg,109501,1541135960,push,73.6,5.83,2212,184
68,mozilla-inbound,firefox,PU3v7nlZSrSzeRFTOQZfvg,109502,1541141987,push,71.37,4.3,2127,121
69,mozilla-inbound,firefox,BhL_WICFSFWaNaP0umgkVQ,109503,1541144019,push,27.54,2.79,513,38
70,mozilla-inbound,firefox,bPQy0G2lQs6lkwy9sLwsVg,109505,1541151968,push,59.17,4.81,1925,180
71,mozilla-inbound,firefox,Oc7BTtLOS-ObjPu4hebToA,109506,1541157216,push,70.98,4.54,2162,156
72,mozilla-inbound,firefox,BvJCeXwmSx21SZjWo08MGA,109507,1541162257,push,57.05,4.32,1910,159
73,mozilla-inbound,firefox,c6-GbgUTTP6R8lpTJ3COAg,109508,1541162379,push,13.31,2.67,247,37
74,mozilla-inbound,firefox,Q0VnCZ1rRMiqCWeD6G_CZQ,109509,1541164584,push,14.64,3.01,248,36
75,mozilla-inbound,firefox,N2O120IQSYSH0bGtvFuvgQ,109510,1541165482,push,60.44,4.77,1899,154
76,mozilla-inbound,firefox,XdR9W79-QAu_drgdRUJV4g,109511,1541166114,push,17.58,2.91,270,38
77,mozilla-inbound,firefox,E1JlGqlRRpy4JmIptUVwMg,109512,1541167511,push,17.35,2.73,270,38
78,mozilla-inbound,firefox,ABScoXkoSw-9_bPQcwbYgA,109513,1541169891,push,17.34,2.77,268,40
79,mozilla-inbound,firefox,aW80QGUJQnulB9JpUdYBvQ,109514,1541170538,push,14.28,3.25,293,71
80,mozilla-inbound,firefox,euB4oDuLRe-F5j6-ryEd3w,109515,1541171079,push,61.42,3.97,1885,125
81,mozilla-inbound,firefox,Mt93IWmdRlyN3tQGKaK14w,109516,1541171362,push,17.31,2.86,271,38
82,mozilla-inbound,firefox,YChkW4N0RoeVnnX1GRBQNg,109517,1541171606,push,14.28,2.73,269,36
83,mozilla-inbound,firefox,carTVjHgTg6RKT2gLuULIw,109518,1541172533,push,71.11,5.07,2265,182
84,mozilla-inbound,firefox,V993y4TSRbGkpeKsatf5rw,109519,1541173774,push,15.13,3.14,316,71
85,mozilla-inbound,firefox,J208ttCTRu61CRAqjIs-Jw,109520,1541175478,push,59.63,4.02,1877,119
86,mozilla-inbound,firefox,Thg0V0RQTbWCqwkyHioCfg,109521,1541175910,push,73.01,4.57,2181,156
87,mozilla-inbound,firefox,eadJSI6nSL-QjQAbeN1WGA,109522,1541177825,push,14.29,3.26,291,71
88,mozilla-inbound,firefox,PH3kOSo5S82VSGsA4A5UMw,109523,1541178000,push,29.01,4.16,578,88
89,mozilla-inbound,firefox,GAIPWIQ6RjGs6fNdPwyRBg,109524,1541178575,push,13.96,2.79,261,36
90,mozilla-inbound,firefox,KrUX3P6JRk6ptezmteAQkA,109525,1541178843,push,72.28,4.57,2193,156
91,mozilla-inbound,firefox,axIbnuxMRT-T0KZudQzeUg,109526,1541183512,push,57.23,3.91,1884,120
92,mozilla-inbound,firefox,dtEkGJiCT82u-gvNgCO8XA,109527,1541183665,push,14.6,3.18,290,71
93,mozilla-inbound,firefox,MFeQKcV_RYGZd0Q0LdbnGQ,109528,1541185790,push,14.14,3.21,287,71
94,mozilla-inbound,firefox,TmvPvB-OSEqFlfXJ1T7fCA,109529,1541187392,push,13.72,2.54,250,36
95,mozilla-inbound,firefox,Ek3Skh6AQuyU3fQM-8XiDA,109530,1541187517,push,59.14,4.03,1864,119
96,mozilla-inbound,firefox,XQYxrEuOSOm91dAQhOF4Yg,109531,1541187660,push,14.67,3.37,283,71
97,mozilla-inbound,firefox,bu9N4vGKTueRDtYnRtSWcQ,109532,1541189197,push,72.71,5.13,2176,157
98,mozilla-inbound,firefox,OcjHuAA6TlivXnyRr-S0Kg,109533,1541189979,push,66.17,4.55,2144,154
99,mozilla-inbound,firefox,BZFP1kg7Si2cNc7h1rYZ0g,109534,1541192502,push,18.78,3.6,311,74
100,mozilla-inbound,firefox,WGZshgOFSpyAIsiEbAl5WA,109535,1541193302,push,63.17,4.81,1945,157
101,mozilla-inbound,firefox,H3-kIDfyRqahPgq_7A30Og,109536,1541193640,push,15.11,3.01,264,36
102,mozilla-inbound,firefox,d6dFYKOLQBGYf_vEPT71kw,109537,1541194743,push,14.17,2.78,248,36
103,mozilla-inbound,firefox,UjcwwjroRFm_TaQZDGavMw,109538,1541194860,push,14.09,2.79,248,36
104,mozilla-inbound,firefox,WKmSt9BtRJmt99ZVJFuKxA,109539,1541194901,push,26.5,2.84,513,38
105,mozilla-inbound,firefox,O8sCulJmS0SAJIUjoTorvw,109540,1541195072,push,56.83,4.87,1864,122
106,mozilla-inbound,firefox,brQy7-NYSga7ecLNnjpbJg,109541,1541195410,push,16.47,4.17,252,39
107,mozilla-inbound,firefox,EijVCQDDSbOR9KBQSUCHwQ,109542,1541195644,push,31.29,6.04,588,104
